path,component,importPath,file,status,placeholderData,mockTokens,usesApiClient,routeFile
punchlist/items/new,PunchListItemFormPage,@/modules/punchlist/PunchListItemFormPage,frontend/src/modules/punchlist/PunchListItemFormPage.tsx,partial,1,3,1,frontend/src/routes/qualityRoutes.tsx
punchlist/items/:id,PunchlistItemDetailPage,@/modules/punchlist/PunchlistItemDetailPage,frontend/src/modules/punchlist/PunchlistItemDetailPage.tsx,likely-real,0,5,1,frontend/src/routes/qualityRoutes.tsx
punchlist/items/:id/edit,PunchListItemFormPage,@/modules/punchlist/PunchListItemFormPage,frontend/src/modules/punchlist/PunchListItemFormPage.tsx,partial,1,3,1,frontend/src/routes/qualityRoutes.tsx
punchlist/dashboard,PunchlistDashboardPage,@/modules/punchlist/PunchlistDashboardPage,frontend/src/modules/punchlist/PunchlistDashboardPage.tsx,partial,0,9,0,frontend/src/routes/qualityRoutes.tsx
regulatory/permits,PermitsPage,@/modules/regulatory/PermitsPage,frontend/src/modules/regulatory/PermitsPage.tsx,partial,1,7,1,frontend/src/routes/qualityRoutes.tsx
regulatory/permits/board,PermitBoardPage,@/modules/regulatory/PermitBoardPage,frontend/src/modules/regulatory/PermitBoardPage.tsx,likely-real,0,0,0,frontend/src/routes/qualityRoutes.tsx
regulatory/permits/:id,PermitDetailPage,@/modules/regulatory/PermitDetailPage,frontend/src/modules/regulatory/PermitDetailPage.tsx,partial,0,9,0,frontend/src/routes/qualityRoutes.tsx
regulatory/licenses,LicensesPage,@/modules/regulatory/LicensesPage,frontend/src/modules/regulatory/LicensesPage.tsx,partial,1,7,1,frontend/src/routes/qualityRoutes.tsx
regulatory/inspections,InspectionsPage,@/modules/regulatory/InspectionsPage,frontend/src/modules/regulatory/InspectionsPage.tsx,likely-real,0,0,1,frontend/src/routes/qualityRoutes.tsx
regulatory/dashboard,RegulatoryDashboardPage,@/modules/regulatory/RegulatoryDashboardPage,frontend/src/modules/regulatory/RegulatoryDashboardPage.tsx,partial,0,4,0,frontend/src/routes/qualityRoutes.tsx
regulatory/reporting-calendar,ReportingCalendarPage,@/modules/regulatory/ReportingCalendarPage,frontend/src/modules/regulatory/ReportingCalendarPage.tsx,partial,1,7,1,frontend/src/routes/qualityRoutes.tsx
